100 3580
0 99 44
0 1 38
0 2 51
0 3 5
0 5 49
0 6 68
0 8 46
0 9 44
0 10 85
0 11 33
11 0 17
0 12 44
0 16 78
0 17 15
0 19 65
0 20 1
0 21 11
0 22 67
0 23 85
23 0 86
0 24 64
0 26 78
0 27 81
27 0 6
0 28 50
0 29 44
0 30 83
0 31 70
0 32 31
0 34 63
0 35 84
0 37 84
37 0 98
0 38 78
0 40 66
0 41 30
0 42 65
0 43 32
0 46 6
0 47 25
0 48 10
0 49 83
0 50 71
0 52 83
0 53 11
0 54 100
0 55 30
0 57 82
0 59 80
59 0 40
0 61 63
0 62 96
0 63 16
0 64 86
0 65 74
0 66 91
0 67 96
0 73 15
0 74 81
0 76 94
0 77 26
0 78 46
0 79 6
0 80 45
80 0 25
0 83 17
83 0 44
0 84 30
0 85 92
0 86 12
86 0 98
0 87 96
0 88 7
88 0 63
0 89 29
0 90 5
90 0 91
0 91 67
0 92 42
0 93 21
93 0 24
0 94 89
0 95 68
0 96 72
0 97 76
0 98 90
1 3 45
1 4 78
1 5 58
1 8 62
1 10 47
1 11 31
1 12 60
1 13 86
1 15 73
1 16 95
1 18 21
1 19 30
1 20 70
1 21 45
1 22 98
22 1 1
1 23 42
23 1 14
1 25 1
1 27 97
1 28 85
1 29 31
1 30 95
1 31 5
1 32 60
1 33 2
1 35 29
1 37 74
1 39 32
1 42 64
42 1 53
1 43 87
1 44 87
1 46 99
1 47 54
1 51 99
1 53 56
1 54 33
1 55 77
1 57 90
1 58 32
1 59 96
1 60 36
60 1 67
1 61 17
1 62 87
1 63 44
63 1 94
1 65 2
1 67 71
1 69 46
1 72 22
1 73 20
73 1 5
1 74 10
1 75 58
1 77 86
1 78 60
1 79 93
1 81 56
1 84 19
1 85 2
85 1 83
1 86 5
1 87 50
1 88 75
88 1 98
1 90 70
1 91 12
1 92 12
1 93 78
93 1 14
1 94 33
94 1 80
1 95 37
1 97 83
97 1 93
2 3 22
2 4 26
2 5 45
2 8 26
2 9 26
2 10 97
2 11 67
2 14 63
2 16 18
2 18 3
2 20 39
2 21 64
2 22 64
2 23 74
2 24 51
2 25 18
2 26 47
2 27 57
2 28 59
28 2 54
2 29 34
2 30 30
2 32 58
2 33 50
2 35 98
2 40 93
2 43 24
43 2 71
2 48 19
2 49 63
2 50 85
2 56 51
2 57 40
2 58 57
2 59 28
2 63 19
2 65 64
2 66 81
2 67 98
2 68 58
2 69 45
2 70 42
2 71 10
71 2 43
2 73 70
73 2 1
2 74 60
2 76 10
2 77 59
2 78 92
2 80 19
2 81 26
2 82 62
2 83 18
2 84 94
2 85 87
2 87 85
2 88 65
88 2 85
2 89 14
2 91 50
91 2 76
2 92 40
2 93 9
2 94 36
2 96 57
3 6 58
3 8 19
8 3 41
3 12 75
